UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
a,"à (mouvement, attribution)",to,a,"nach, an , zu (Bewegung)","в, на, к",a
abdomen,abdomen,abdomen,abdomen,Bauch (m) 2,"живот, брюшко",abdome
abelad,embellissement,embellishment,,,,
abelo,embellir (rendre beau),"embellish, beautify (to)",,,,
aben,sapin,fir-tree,abeto,Tanne (f),"ель, ёлка",abete
abero,aborder (rive),accost (to),,,,
"abet, abeta","abbé, -esse",,,,,
abetia,abbaye,abbey,abadia,Abtei,аббатство,abbazia
abijo,blanchir (rendre blanc),whiten (to),,,,
abli,capable,"able, capable","capaz, apto",fähig,способный,"capabile, abile"
ablid,"capacité, aptitude",ability,habilidad,Fähigkeit,способность,capacità
abojo (trans.),fléchir,,,,,
abonad,abonnement,subscription,suscripción,Abonnement,подписка,abbonamento
abonen,abonné,subscriber,,,,
abono (sia),abonner (s' -),subscribe (to),suscribirse,abonnieren,подписываться,abbonarsi
abordad,abordage,boarding,,,,
abordo,aborder (navire),board (to),,,,
abortad,avortement,abortion,aborto,Abtreibung,"аборт, выкидыш",aborto
aborto,avorter,abort (to),abortar,abtreiben,выкинуть,abortire
Abrahàm,Abraham,Abraham,,,,
abrenor,incendiaire (N),firebug,,,,
abrikòz,abricot,apricot,albaricoque,Aprikose,абрикос,albicocca
abrikozar,abricotier,apricot-tree,,,,
abrutad,abrutissement,stultification,,,,
abrutan,abrutissant,stultifying,,,,
abruten,abruti (adj.),"stultified, stunned",,,,
abruto,abrutir,"stultify, stupefy (to)",,,,
Abruze,Abruzzes,Abruzzo,,,,
ABS (antiblokan sistèm),ABS,,,,,
abunad,amélioration,improvement,,,,
"abunel, -nle",engrais,fertilizer,,,,
abuno,"améliorer,",improve (to),mejorar,verbessern,улучать,migliorare
ac,cendre,ash,ceniza,Asche (f),"пепел, зола",cenere
acajo,"chauffer (qqch), réchauffer (plat), échauffer (esprits)","heat up, heat (to)",,,,
acar,cendrier,ashtray,cenicero,Aschbecher (m),пепельница,portacenere
acekad ?,"requête, sollicitation",request,,,,
aceko ?,"solliciter, requérir",request (to),,,,
acepad,acceptation,acceptance,aceptación,Annahme,принятие,accettazione
acepli,"acceptable, admissible",acceptable,,,,
aceplid,acceptabilité,acceptability,,,,
acepo,"accepter, agréer",accept (to),aceptar,"annehmen, akzeptieren",принимать,accettare
aci,"cendré, de cendre","ashy, ashen",,,,
aciblondi,blond cendré,ash blond,,,,
acifro,chiffrer,"assess, put a figure to",,,,
acigrìs,gris cendré,ash grey,,,,
aciklori,"cendré, couleur de cendre",ash-coloured,,,,
Acirela,Cendrillon,Cinderella,,,,
acuren,assermenté,"sworn in, on oath",,,,
acuro,assermenter,swear in (to),,,,
Adàm,Adam,Adam,,,,
adaptad,adaptation,adaptation,,,,
adaptèl,adaptateur,adapter (device),,,,
adapten,adapté,adapted,,,,
adaptili,adaptable,adaptable,,,,
adaptilid,adaptabilité,adaptability,,,,
adapto sia adapto,"adapter, ajuster (s' - )",,,,,
adarad,endurcissement,hardening (N),,,,
adaro,durcir (rendre dur),harden (make harder),,,,
adavad,addiction,addiction,,,,
adavo (sia - a),s'adonner à,,,,,
adicad,épaississement,thickening,,,,
adico,épaissir (rendre épais),thicken (to) (make thicker),,,,
adìk,instruction (indication),instruction (for use),,,,
adiko,donner des instructions,instructions (to give - ),,,,
adizad,addition (opération),addition,suma,Addition,"сложение, прибавление",addizione
adizen,additif (N),additive (N),,,,
adìzi,"additionel, additif (adj.)",,,,,
adìzo,additionner (math.),add (to),sumar,addieren,"прибавлять, сложить",addizionare
adjetìv,adjectif,adjective,adjetivo,Adjektiv,прилагательное,aggettivo
adjetivi,adjectival,adjectival,,,,
adjutan,adjudant,adjutant,,,,
administrad,administration,administration,administración,Verwaltung,управдение,amministrazione
administri,administratif,administrative,,,,
administro,administrer,administer (to),,,,
administror,administrateur,administrator,,,,
admirad,admiration,admiration,admiración,Bewunderung,восхищениевосхищаться,ammirazione
admiran,admiratif,"admiring, appreciative",,,,
admirli,admirable,admirable,,,,
admiro,admirer,admire (to),admirar,bewundern,"любоваться, восхищаться",ammirare
"admiror, -a","admirateur, -trice","admirer, fan",,,,
adòj !,adieu,,,,,
adojad,idolâtrie,,,,,
adojo,idolâtrer,,,,,
adolo,faire mal (trans) (phys.),hurt (to) (trans.),,,,
adomo,"loger, héberger",accommodate (to),,,,
"adomor, -a","logeur, -se",,,,,
adoptad,adoption,adoption,,,,
adopten,"adopté, adoptif (enfant, patrie)",adopted,,,,
adopti,adoptif (parents),adoptive,,,,
adopto,adopter,adopt (to),adoptar,adoptieren,"усыновлять, принимать",adottare
adorad,adoration,"worship, adoration",,,,
adorli,"adorable,",adorable,adorable,entzückend,прелестняй,adorabile
adorlim,adorablement,,,,,
adoro,adorer,adore (to),adorar,anbeten,обожать,adorare
adoror,adorateur,worshipper,,,,
adrenalin,adrénaline,adrenalin,,,,
adrès,adresse (domicile),address,dirección (domicilio),Adresse,адрес,indirizzo
adresen,destinataire,addressee,destinatario,Adressat,адресат,destinatario
adresen (vido - a),"s'adresser à (lettre, etc…)",addressed (be - to),,,,
adreso,adresser,address (to),dirigir,adressieren,адресовать,indirizzare
Adriàn,Adrien,Adrian,,,,
Adriàni,Adriatique,,,,,
adulteric,"adultère (adj.), adultérin",adulterous,,,,
adulterij,adultère (N),adultery,,,,
adumad,"assombrissement, obscur-cissement",darkening (making dark),,,,
adumo,"obscurcir, assombrir",darken (to) (make dark),,,,
adunad,abêtissement,stultification,,,,
adunan,abêtissant,stultifying,,,,
aduno,abêtir,stultify (to),,,,
adutad,adduction,bringing (somebody),,,,
aduto,amener,take (to - sbdy),"traer, conducir (alguién)",heranführen,приводить,condurre
aduvad,approfondissement,deepening,,,,
aduvo,approfondir,deepen (make deeper),,,,
advèrb,adverbe,adverb,adverbio,Umstandswort,наречие,avverbio
adverbi,adverbial,adverbial,,,,
aerobik,aérobic,aerobics,,,,
afàl,"assaut, crise, attaque","fit, attack, assault",,,,
afalen,abattu (arbre),felled (tree),,,,
afalo,"abattre (arbre), faire tomber",fell (to),,,,
afamad,action d'affamer,starving somebody,,,,
afamo,affamer,starve (to) somebody (trans.),,,,
"afàr, afarad",arrivée (en véhicule),,,,,
afaro,arriver (en véhicule),arrive (to) (in a vehicle),,,,
afektad,fait d'affecter (sentiments),affecting (act of -),,,,
afektivi,affectif,affective,,,,
afektivid,affectivité,affectivity,,,,
afekto,affecter (sentiments),affect (to),,,,
afendad,aboutissement,,,,,
afendo be,aboutir à,"end (up) in, at",,,,
afensad,brouille,enemy (making an - of),,,,
afenso ekun,se faire un ennemi de,enemy (make an - of sbdy),,,,
afèr,affaire (scandale),"affair, scandal, crisis",,,,
Afgàn,Afghan,Afghan,,,,
"Afgania, Afganistàn",Afghanistan,,,,,
afìks,affixe,affix,,,,
afinad,affinage,"refinement (cheese, sugar)",,,,
afino,affiner,"refine (to) (cheese, sugar)",,,,
afistad,affermissement,,,,,
afisto,affermir,,,,,
aflamo,"enflammer (bois, etc.)","ignite, inflame (trans)",,,,
aflevad,arrivée (en volant),arrival (by air),,,,
aflevo,arriver (en volant),arrive (flying),,,,
afligad,mise en fuite,flight (putting to - ),,,,
afligo,faire fuir,flight (to put to - ),,,,
aflotad,mise à flot,"floating, launching (boat)",,,,
afloto,"faire flotter, mettre à flot",float something (to),,,,
aflùd,"flux, marée montante",flow (≠ ebb),,,,
afluidad,liquéfaction,,,,,
afluido,liquéfier,,,,,
aflùj,afflux,"influx, inflow",,,,
aflujad,affluence,"rush, flood",,,,
aflujan,affluent,tributary,,,,
aflujo,affluer,flood in (to),,,,
afojad,allumage (feu),"kindling, setting fire",,,,
afojo (feu),allumer (feu),,,,,
afostad,boisement,afforestation,,,,
afosto,boiser (planter des arbres),afforest (to),,,,
afrajad,action d'effrayer,frightening (act of),,,,
afrajan,"effrayant, redoutable, affolant",frightening (adj.),,,,
afrajen,"effrayé, apeuré","frightened, scared",,,,
afrajo,effrayer,frighten (to),"asustar, espantar",erschrecken,пугать,spaventare
afrajovel pl. -vle,épouvantail,scarecrow,,,,
aframad,fait de devenir amis,friends (making - with),,,,
aframo ekun,devenir ami avec,friends (make - with sbdy),,,,
afreitad,affrètement,"chartering (boat, plane)",,,,
afreito,affréter,"charter, freight (to)",fletar,befrachten,фрахтовать судно,noleggiare
afreitor,affréteur,shipper,,,,
africad,rafraîchissement (action),cooling,,,,
african,rafraîchissant,refreshing,,,,
"africel, pl -cle",rafraîchissement (boisson),,,,,
"africo, sia -","rafraîchir, se - (personne)",,,,,
afrijad,refroidissement (tech.),cooling (N),,,,
afrijan,"refroidissant, de refroidissement",cooling (adj.),,,,
afrijèl,refroidisseur,,,,,
afrijen,refroidi,,,,,
afrijo,refroidir,chill (to),enfriar,abkühlen,охлаждать,raffreddare
Afrika,Afrique,Africa,Africa,Afrika,Африка,Africa
Afrikan,Africain,African,africano,Afrikan-er/-isch,Африкан-ец / -ский,africano
afugli,"attaquable, contestable",,,,,
afugo,"attaquer, s'en prendre à",,,,,
afumen,fumé,smoked,ahumado,geraucht,копчёный,affumicato
afumen glas,verre fumé,smoked glass,,,,
afumo,"enfumer, fumer (viande, etc…)","smoke (out) to (meat, people)",,,,
agàt,agathe,,,,,
"agel, pl agle",anguille,,,,,
agenad,action de donner naissance,,,,,
ageno,"faire naître, donner naissance",birth (to give -),"dar origen, - a luz","hervor-, zur Welt bringen","рожать, родить","partorire, generare"
agenor,"géniteur, celui qui donne naissance",,,,,
agènt,agent,agent,,,,
agentia,agence,agency,agencia,Agentur,агетство,agenzia
ager pl. agre,champ,"field, acre",,,,
aglajan,réjouissant,"cheering, heartening",,,,
aglajo,réjouir,gladden (to) trans.,,,,
aglaso,vitrer,"glaze (to), fit with glass",,,,
agolo,allécher,"tempt, make your mouth water",,,,
agonad,opposition,opposition,,,,
agonen,opposé (contre),opposed,,,,
agoni,adverse,"contrary, adverse adj.",,,,
agonic,à l'agonie (adj.),,,,,
agonij,agonie,"death pangs, extreme suffering",,,,
agonijan,agonisant,,,,,
agonijo,agoniser,"suffer extremely, be dying",,,,
"agono (ekun, ekwa)",opposer à (s'),"oppose (to) (somebody, something)",,,,
agonor,"adversaire, opposant",opponent,"adversario, opositor",Gegner,противник,"avversario, oppositore"
agopad,action de verser goutte à goutte,shedding drop by drop,,,,
agopo,verser goutte à goutte,"drip in (trans), shed drop by drop",,,,
agrenad,agrandissement,"enlargement,extension",,,,
