Lidepla,Type,English,Russian,Source
a,konekti," 1) (konekti) to (aim, direction)","1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",
go a shop ,, go to the shop,,
lai a dom ,, come home,,
returni a janmalanda ,, return to one's native land,,
a oli taraf ,, in/to all directions,,
a,konekti,2) (konekti) to (dative case),"1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",
a yu ,, to you,,
a may amiga ,, to my friend,,
shwo a swa ,, say to oneself,,
me ve rakonti a yu om to ,," I'll tell you about that (cf. ""versu"")",,
a,,3) the name of the letter A a																					,"1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",
aa ,exklami," (exklami) ah, oh (an exclamation of understanding, recognition)","А! (междометие понимания, узнавания): Aa, es yu! А, это ты!",
"Aa, es yu!",,"Ah, it's you!",,
"Aa, me samaji. ",," Oh, I see. Written with two letters for distinction from the conjunction ""a"" (but pronounced the same way) See also: ah",,
abat ,kwo, (kwo) abbot,аббат; abatguan - аббатство,
abatguan ,kwo, (kwo) abbey,,
abeta ,kwo, (kwo) fir (tree),пихта,
abisma ,kwo, (kwo) abyss,"бездна, пропасть, пучина",
abnegi ,zwo," (zwo) abnegate, deny oneself; renounce","отказываться, отрекаться; отказывать себе: lu abnegi-te fuming он отказался от курения; abnega (само)отречение, добровольный отказ",
lu abnegi-te fuming ,, he gave up smoking,,
abnega ,kwo," (kwo) abnegation, self-denial",,
aboli ,zwo, (zwo) abolish,"отменять, упразднять (закон, общественный институт и т. п.); abola отмена, аннулирование ",
abola ,kwo, (kwo) abolishment,,
abordaja ,kwo, (kwo) boarding (attacking an enemy ship),абордаж,
aborigene ,kwel, (kwel) aboriginal,"аборигенный, туземный, aborigena абориген",
aborigena ,kwo, (kwo) aborigine,,
abrevi ,zwo," (zwo) abbreviate (words); abridge (a book), curtail (a narrative)","сокращать (о слове); abreva сокращение (слова, фразы, текста); abrevitura аббревиатура; abrevi-nem (abrevem) сокращённо",
abreva ,kwo, (kwo) abbreviation,,
abrevi-ney ,kwel," (kwel) abbreviated, abridged",,
abrevi-nem (abrevem) ,komo, (komo) in abbreviated form,,
abrevitura ,kwo, (kwo) acronym,,
abrupte ,kwel," (kwel) precipitous, abrupt; brusque; sudden, abrupt","1) отрывистый, резкий; 2) обрывистый, крутой; 3) резкий, внезапный",
absente ,kwel," (kwel) absent, not present",отсутствующий; absensia отсутствие,
absensia ,kwo, (kwo) absence,,
abses ,kwo, (kwo) abscess,"абсцесс, гнойник, нарыв",
absolute ,kwel, (kwel) absolute,абсолютный; absolutem абсолютно; absoluta абсолют,
absolutem ,komo, (komo) absolutely,,
absoluta ,kwo, (kwo) (the) absolute,,
absorbi ,zwo, (zwo) absorb,"впитывать, всасывать; поглощать; абсорбировать; absorba абсорбция, впитывание; absorben bay gunsa поглощён работой",
Gunsa absorbi ta. ,, His work absorbed him.,,
absorba ,kwo, (kwo) absorption,,
abstrakti ,zwo, (zwo) abstract,абстрагировать(ся); abstrakta абстракция; abstrakta-ney (abstrakte) абстрактный,
abstrakta ,kwo, (kwo) abstraction,,
abstrakta-ney (abstrakte) ,kwel, (kwel) abstract,,
absurde ,kwel, (kwel) absurd,"абсурдный; absurda, absurdika нечто абсурдное, ерунда, глупость; absurditaa абсурд; абcурдность",
absurda ,kwo, (kwo) absurd,,
absurditaa ,kwo, (kwo) absurdity,,
abundante ,kwel, (kwel) abundant,"обильный, изобилующий; abundansia изобилие; abundantem обильно; щедро",
abundantem ,komo," (komo) abundantly, amply, generously",,
abundansia ,kwo, (kwo) abundance,,
abyas ,kwo," (kwo) habit, custom","привычка; навык; hev abyas иметь обыкновение; abyas-ney привычный; abyas-nem привычно; pa abyas по привычке; abyasi привыкнуть (a koysa - к чему-л.), получить навык; mah koywan abyasi приучить кого-л.; abyasing привыкание; abyasi-ney (abyasen) привыкший",
pa abyas ,, through habit,,
hev abyas ,," to be accustomed, to be wont, to be in the habit of",,
abyas-ney ,kwel, (kwel) habitual,,
abyas-nem ,komo," (komo) habitually (see also ""pinchan"")",,
abyasi ,zwo, (zwo) get accustomed/used (a koysa ,,
mah koywan abyasi a koysa ,, to accustom smb to smth,,
abyasi-ney (abyasen) ,kwel," (kwel) accustomed, used (a koysa ",,
abyasen a mushkila ,, accustomed to difficulties,,Hindi
acha ,kwo, (kwo) axe,топор; топорик; секира,Spanish
Adam ,, Adam (Bibl.),Адам (библ.),
adapti ,zwo," (zwo) adapt, adapt oneself","приспосабливать(ся), адаптировать(ся); adapta адаптация, приспособление; adapter адаптер; adapti-ney приспособленный; adaptinesa приспособленность; adaptibilitaa приспособляемость",
adapta ,kwo, (kwo) adaptation,,
adapter ,kwo, (kwo) adapter,,
adaptibile ,kwel, (kwel) adaptable,,
adaptibilitaa ,kwo, (kwo) adaptability,,
adar ,," (loko-komo) thither, there, that way",,
bu go adar ,, don’t go there (Origin: a+dar) Syn.: dar,,
adi ,zwo, (zwo) add,"добавить; прибавить; ada добавление; добавка, прибавка (тж.adiwat); adike добавочный, дополнительный",
ada ,kwo, (kwo) addition,,
adiwat ,kwo," (kwo) additive, addition (smth added)",,
adike ,kwel, (kwel) additional (cf. “aditi”),,
aditi ,zwo," (zwo) add (math.), add up, tot up","складывать, сложить (матем.); adita сложение; aditiwat слагаемое",
adita ,kwo, (kwo) addition (math.),,
adle ,kwel, (kwel) noble (of nobility),дворянский; знатный; adla дворянин; adlitaa дворянство; знать,
adla ,kwo, (kwo) nobleman (a member of nobility),,
adlitaa ,kwo, (kwo) nobility,,German
administri ,zwo," (zwo) administer (manage, conduct)","управлять, заведовать, администрировать; administra управление, заведование; administrasion администрация",
administra ,kwo, (kwo) administration (administering),,
administrasion ,kwo, (kwo) administration (managers),,
admiral ,kwo, (kwo) admiral,адмирал,
admiri ,zwo, (zwo) admire,"восхищаться, любоваться; восторгаться; admira восхищение; любование; восторг; admirival восхитительный, заслуживающий восхищения; admirer, admiri-sha поклонник, обожатель",
admira ,kwo, (kwo) admiration,,
admirival ,kwel, (kwel) admirable,,
"admirer, admiri-sha ",kwo, (kwo) admirer,,
admiti ,zwo," (zwo) admit (grant entrance, whether into a place or into the mind)","допускать; admita допуск, допущение, принятие; noadmitibile недопустимый",
admita ,kwo," (kwo) admission, admittance",,
noadmitibile ,kwel, (kwel) inadmissible,,
adopti ,zwo, (zwo) adopt,"принимать (закон, решение); усыновлять (удочерять); перенимать, усваивать; adopta принятие; усыновление",
adopta ,kwo, (kwo) adoption,,
adres ,kwo, (kwo) address (location or its description),адрес; adresi адресовать; обращаться (к кому-л.); adresing обращение (к кому-л.),
adresi ,zwo," (zwo) address, accost",,
adresing ,kwo," (kwo) addressing, address (act)",,
adulte ,kwel, (kwel) adult,"взрослый; adulta взрослый человек (adulto взрослый мужчина, adultina взрослая женщина); adultifi взрослеть; adultifa взросление",
adulta ,kwo, (kwo) adult,,
adulto ,kwo, (kwo) adult male,,
adultina ,kwo, (kwo) adult female,,
adyoo ,exklami, (exklami) Goodbye! Adieu!,"до свиданья!; прощание; shwo/fai adyoo прощаться; al fai adyoo на прощание, прощаясь; mavi handa pa adyoo помахать рукой на прощание",
"shwo adyoo, fai adyoo",,to say goodbye,,
al fai adyoo ,kwo, at parting (kwo) farewell,,
adyutanta ,kwo," (kwo) aide de camp, adjutant",адьютант,
afisha ,kwo," (kwo) bill, poster, placard",афиша; afishi афишировать,
afishi ,zwo, (zwo) bill (advertise),,
aflui ,zwo," (zwo) flow towards, rush towards, stream towards","приливать, притекать; afluisa прилив, наплыв; afluisa e defluisa прилив и отлив",
afluisa ,kwo," (kwo) flow, flood (of tide), rising tide; influx, inflow",,
afluisa e defluisa ,, flow and ebb (Origin: a+flui),,
Afrika ,kwo, (kwo) Africa,Африка (континент),
afro-asiatike ,kwel, (kwel) Afroasiatic,афроазиатский,
afsos ,kwo," (kwo) regret, pity","сожаление; afsosi сожалеть; pa afsos к сожалению; afsosival достойный сожаления; прискорбный, досадный; afsos! жаль! Увы!",
pa afsos ,," regrettably, sadly, unfortunately",,
afsosi ,zwo," (zwo) regret, be sorry about",,
afsos! ,exklami, (exklami) alas! it is a pity!,,
"afsos-ney, afsosival ",kwel," (kwel) regrettable, sad, unfortunate",,Hindi
